# Warming trend by start year (to present) — CMIP3 (SRES A1B)
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-04
# OLS trends in degC per decade from each start year through the latest observed month; model columns are the ensemble mean and 5th-95th percentile across members.
# Trends are baseline-independent.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
start_year,model_mean,model_p05,model_p95,hadcrut5,gistemp,noaa,berkeley,copernicus,obs_median
1970,0.2027,0.1512,0.2844,0.2044,0.2032,0.1956,0.2085,0.2140,0.2044
1971,0.2041,0.1502,0.2854,0.2060,0.2052,0.1973,0.2097,0.2169,0.2060
1972,0.2049,0.1491,0.2842,0.2048,0.2049,0.1965,0.2084,0.2165,0.2049
1973,0.2065,0.1493,0.2847,0.2055,0.2059,0.1980,0.2090,0.2184,0.2059
1974,0.2078,0.1501,0.2851,0.2090,0.2101,0.2018,0.2124,0.2224,0.2101
1975,0.2084,0.1482,0.2866,0.2074,0.2089,0.2006,0.2103,0.2201,0.2089
1976,0.2090,0.1474,0.2891,0.2065,0.2084,0.1998,0.2090,0.2175,0.2084
1977,0.2096,0.1486,0.2876,0.2024,0.2052,0.1970,0.2051,0.2124,0.2051
1978,0.2112,0.1475,0.2884,0.2055,0.2083,0.2000,0.2083,0.2134,0.2083
1979,0.2130,0.1463,0.2892,0.2057,0.2082,0.2007,0.2082,0.2124,0.2082
1980,0.2142,0.1453,0.2914,0.2077,0.2102,0.2029,0.2097,0.2150,0.2097
1981,0.2164,0.1444,0.2988,0.2124,0.2145,0.2078,0.2150,0.2213,0.2145
1982,0.2192,0.1456,0.3062,0.2189,0.2209,0.2140,0.2214,0.2288,0.2209
1983,0.2204,0.1457,0.3155,0.2185,0.2215,0.2147,0.2214,0.2302,0.2214
1984,0.2197,0.1425,0.3178,0.2239,0.2274,0.2205,0.2265,0.2376,0.2265
1985,0.2192,0.1385,0.3160,0.2230,0.2278,0.2211,0.2258,0.2377,0.2258
1986,0.2191,0.1357,0.3205,0.2211,0.2259,0.2199,0.2232,0.2355,0.2232
1987,0.2204,0.1357,0.3267,0.2199,0.2253,0.2207,0.2232,0.2355,0.2232
1988,0.2227,0.1386,0.3337,0.2236,0.2296,0.2250,0.2264,0.2409,0.2264
1989,0.2247,0.1424,0.3395,0.2287,0.2365,0.2315,0.2313,0.2476,0.2315
1990,0.2276,0.1481,0.3490,0.2289,0.2381,0.2324,0.2306,0.2488,0.2324
1991,0.2322,0.1542,0.3600,0.2368,0.2474,0.2402,0.2383,0.2603,0.2402
1992,0.2351,0.1564,0.3575,0.2438,0.2550,0.2474,0.2455,0.2698,0.2474
1993,0.2274,0.1532,0.3426,0.2392,0.2526,0.2453,0.2420,0.2670,0.2453
1994,0.2221,0.1507,0.3325,0.2346,0.2488,0.2427,0.2385,0.2648,0.2427
1995,0.2197,0.1489,0.3250,0.2316,0.2477,0.2416,0.2363,0.2625,0.2416
1996,0.2178,0.1485,0.3183,0.2361,0.2534,0.2482,0.2432,0.2699,0.2482
1997,0.2155,0.1540,0.3155,0.2327,0.2506,0.2462,0.2414,0.2677,0.2462
1998,0.2150,0.1520,0.3040,0.2376,0.2551,0.2519,0.2474,0.2721,0.2519
1999,0.2135,0.1498,0.2912,0.2550,0.2708,0.2680,0.2649,0.2910,0.2680
2000,0.2137,0.1488,0.2978,0.2517,0.2677,0.2670,0.2632,0.2883,0.2670
2001,0.2148,0.1519,0.3029,0.2459,0.2625,0.2637,0.2580,0.2816,0.2625
2002,0.2144,0.1504,0.2920,0.2522,0.2673,0.2695,0.2639,0.2865,0.2673
2003,0.2142,0.1407,0.2879,0.2639,0.2816,0.2814,0.2785,0.3007,0.2814
2004,0.2170,0.1479,0.2989,0.2755,0.2949,0.2940,0.2918,0.3135,0.2940
2005,0.2188,0.1538,0.2916,0.2767,0.2972,0.2979,0.2950,0.3177,0.2972
2006,0.2168,0.1283,0.2834,0.2950,0.3174,0.3177,0.3196,0.3427,0.3177
2007,0.2186,0.1232,0.2934,0.3085,0.3328,0.3334,0.3381,0.3624,0.3334
2008,0.2240,0.1320,0.3130,0.3255,0.3529,0.3479,0.3571,0.3820,0.3529
2009,0.2347,0.1542,0.3351,0.3149,0.3476,0.3397,0.3492,0.3732,0.3476
2010,0.2368,0.1522,0.3375,0.3235,0.3580,0.3484,0.3615,0.3825,0.3580
2011,0.2336,0.1400,0.3379,0.3507,0.3828,0.3699,0.3910,0.4120,0.3828
